timestamp,open,high,low,close,volume
2025-02-28 19:59:00,252.5000,252.5000,252.5000,252.5000,1
2025-02-28 19:58:00,252.5000,252.5000,252.0300,252.0300,45
2025-02-28 19:53:00,252.5000,252.5000,252.5000,252.5000,116
2025-02-28 19:51:00,252.5000,252.5000,252.5000,252.5000,15
2025-02-28 19:49:00,252.5000,252.5000,252.5000,252.5000,4
2025-02-28 19:46:00,252.5000,252.5900,252.4300,252.5900,85
2025-02-28 19:36:00,252.4000,252.4000,252.4000,252.4000,2
2025-02-28 19:34:00,252.0200,252.0200,252.0200,252.0200,40
2025-02-28 19:30:00,252.0200,252.0200,252.0200,252.0200,30
2025-02-28 19:25:00,252.0200,252.0200,252.0200,252.0200,1
2025-02-28 19:24:00,252.4000,252.4000,252.4000,252.4000,1
2025-02-28 19:17:00,252.5200,252.5200,252.4200,252.4200,30
2025-02-28 19:11:00,252.4300,252.4300,252.4300,252.4300,6
2025-02-28 19:01:00,252.2500,252.2500,252.0000,252.0000,100
2025-02-28 19:00:00,252.4400,252.4400,252.4400,252.4400,2397170
2025-02-28 18:52:00,252.1000,252.1000,252.1000,252.1000,9
2025-02-28 18:50:00,252.4400,252.4400,252.4400,252.4400,1
2025-02-28 18:49:00,252.0100,252.0100,252.0100,252.0100,2
2025-02-28 18:48:00,252.0900,252.0900,252.0900,252.0900,1
2025-02-28 18:45:00,252.0100,252.0100,252.0100,252.0100,2
2025-02-28 18:38:00,252.0100,252.0110,252.0100,252.0110,2
2025-02-28 18:30:00,252.4400,252.4400,252.4400,252.4400,2397170
2025-02-28 18:28:00,252.0900,252.0900,252.0900,252.0900,4
2025-02-28 18:10:00,252.4400,252.4400,252.4400,252.4400,30
2025-02-28 18:08:00,252.4400,252.4400,252.4400,252.4400,15
2025-02-28 18:06:00,252.2000,252.2000,252.2000,252.2000,10
2025-02-28 18:05:00,252.2500,252.2500,252.2500,252.2500,10
2025-02-28 18:02:00,252.2400,252.2400,252.2400,252.2400,1
2025-02-28 17:58:00,252.0200,252.0200,252.0200,252.0200,10
2025-02-28 17:55:00,252.4293,252.4293,252.4293,252.4293,1
2025-02-28 17:53:00,252.0101,252.0101,252.0101,252.0101,1
2025-02-28 17:52:00,252.4300,252.4300,252.4300,252.4300,3
2025-02-28 17:44:00,252.4400,252.4400,252.4400,252.4400,16
2025-02-28 17:34:00,252.0001,252.0001,252.0001,252.0001,10
2025-02-28 17:31:00,251.7000,251.7000,251.7000,251.7000,1
2025-02-28 17:28:00,250.2000,250.2000,250.2000,250.2000,1
2025-02-28 17:18:00,250.2000,250.2000,250.2000,250.2000,1
2025-02-28 17:16:00,252.3280,252.3280,252.3280,252.3280,1
2025-02-28 17:13:00,252.4300,252.4300,252.4300,252.4300,6
2025-02-28 17:09:00,252.3900,252.4400,252.3900,252.4400,4
2025-02-28 17:03:00,252.3915,252.4000,252.3900,252.3900,33
2025-02-28 17:02:00,251.5000,251.5000,251.5000,251.5000,6
2025-02-28 17:01:00,251.1995,251.1995,251.1995,251.1995,19
2025-02-28 16:56:00,252.0500,252.0500,251.9400,251.9400,292
2025-02-28 16:55:00,252.4400,252.4400,252.4400,252.4400,62612
2025-02-28 16:51:00,252.0000,252.0000,252.0000,252.0000,10
2025-02-28 16:48:00,252.0000,252.0000,252.0000,252.0000,5
2025-02-28 16:47:00,252.4400,252.4400,252.0000,252.0000,2
2025-02-28 16:46:00,252.1300,252.4400,252.1300,252.4400,401
2025-02-28 16:45:00,252.6200,252.6200,252.6200,252.6200,10
2025-02-28 16:41:00,252.4000,252.4000,252.4000,252.4000,1
2025-02-28 16:39:00,252.0000,252.0000,252.0000,252.0000,3
2025-02-28 16:38:00,252.4312,252.4488,252.4312,252.4488,202232
2025-02-28 16:35:00,252.0700,252.0700,252.0000,252.0400,370
2025-02-28 16:31:00,252.4400,252.4400,252.4400,252.4400,80000
2025-02-28 16:30:00,252.4400,252.9900,252.4400,252.5000,66
2025-02-28 16:29:00,252.5100,252.9203,252.5100,252.9203,34
2025-02-28 16:28:00,252.4122,252.4678,252.4122,252.4678,13940
2025-02-28 16:25:00,252.5200,252.5200,252.5200,252.5200,1
2025-02-28 16:22:00,252.4097,252.4703,252.4097,252.4703,2225
2025-02-28 16:20:00,252.4400,252.4400,252.4000,252.4000,3258
